bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,ELEGANT: Security of Critical Infrastructures With Digital Twins,"Sousa, Bruno and Arieiro, Miguel and Pereira, Vasco and Correia, Joaoand Lourenco, Nuno and Cruz, Tiago",IEEE ACCESS,2021,ISI Web of Science,107574-107588,9,"The past years have witnessed an increasing interest and concern
regarding the development of security monitoring and management
mechanisms for Critical Infrastructures, due to their vital role in
ensuring the availability of many essential services. This task is not
easy due to the specific characteristics of such systems, and the
natural resistance of Critical Infrastructures operators against actions
implying downtime. Digital Twins, as accurate virtual models of physical
objects or processes, can provide a faithful environment for security
analysis or evaluation of potential mitigation strategies to be deployed
in face of specific situations. Nonetheless, their on-premises
deployment can be expensive, implying a significant CAPEX whose return
will depend on the ability to plan and deploy a suitable support
infrastructure, as well as implementing efficient and scalable data
collection and processing mechanisms capable of taking advantage of the
acquired resources. This paper presents an off-premises approach to
design and deploy Digital Twins to secure critical infrastructures,
developed in the scope of the ELEGANT project. Such Digital Twins are
built using real-time, high fidelity replicas of Programming Logic
Controllers, coupled with scalable and efficient data collection
processes, supporting the development and validation of Machine Learning
models to mitigate security threats like Denial of Service attacks. The
validation approach of ELEGANT, which leveraged from the capabilities of
the Fed4Fire federated testbeds evaluated the feasibility of using
cloudified Digital Twins, thus converting a significant part of the
projected CAPEX for the in-premises model into on-demand, pay-as-you-go
OPEX, eventually paving the way for the establishment of a DTaaS
(Digital Twin as a Service) paradigm. The achieved results demonstrate
that the data pipelines providing support for the ELEGANT Digital Twins
have low impact in terms of resource usage in Denial of Service and
Distributed Denial of Service attack scenarios, when higher volumes of
data are generated.",Article,10.1109/ACCESS.2021.3100708,,"Sousa, B (Corresponding Author), Univ Coimbra, CISUC, DEI, Polo Pinhal Marroco 2, P-303290 Coimbra, Portugal.Sousa, Bruno; Arieiro, Miguel; Pereira, Vasco; Correia, Joao; Lourenco, Nuno; Cruz, Tiago, Univ Coimbra, CISUC, DEI, Polo Pinhal Marroco 2, P-303290 Coimbra, Portugal.",,Security; Digital twin; Monitoring; Integrated circuits; Processcontrol; SCADA systems; Analytical models; Digital Twins; SCADA;pipelines; security; programmable logic controllers; DTaaS,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2169-3536,English,,,44936.59786,44939.79861,Linatek,Linatek,Accepted,
,Towards situational aware cyber-physical systems: A security-enhancinguse case of blockchain-based digital twins,"Suhail, Sabah and Malik, Saif Ur Rehman and Jurdak, Raja and Hussain,Rasheed and Matulevicius, Raimundas and Svetinovic, Davor",COMPUTERS IN INDUSTRY,2022,ISI Web of Science,,141,"The complexity of cyberattacks in Cyber-Physical Systems (CPSs) calls
for a mechanism that can evaluate critical infrastructures' operational
behaviour and security without affecting the operation of live systems.
In this regard, Digital Twins (DTs) provide actionable insights through
monitoring, simulating, predicting, and optimizing the state of CPSs.
Through the use cases, including system testing and training, detecting
system misconfigurations, and security testing, DTs strengthen the
security of CPSs throughout the product lifecycle. However, such
benefits of DTs depend on an assumption about data integrity and
security. Data trustworthiness becomes more critical while integrating
multiple components among different DTs owned by various stakeholders to
provide an aggregated view of the complex physical system. This article
envisions a blockchain-based DT framework as Trusted Twins for Securing
Cyber-Physical Systems (TTS-CPS). With the automotive industry as a CPS
use case, we demonstrate the viability of the TTS-CPS framework through
a proof of concept. To utilize reliable system specification data for
building the process knowledge of DTs, we ensure the trustworthiness of
data-generating sources through Integrity Checking Mechanisms (ICMs).
Additionally, Safety and Security (S\&S) rules evaluated during
simulation are stored and retrieved from the blockchain, thereby
establishing more understanding and confidence in the decisions made by
the underlying systems. Finally, we perform formal verification of the
TTS-CPS. (c) 2022 The Author(s). Published by Elsevier B.V. CC\_BY\_4.0",Article,10.1016/j.compind.2022.103699,,"Suhail, S (Corresponding Author), Vienna Univ Econ \& Business, Res Inst Cryptoecon, Informat Syst \& Operat Management, Vienna, Austria.Suhail, Sabah; Svetinovic, Davor, Vienna Univ Econ \& Business, Res Inst Cryptoecon, Informat Syst \& Operat Management, Vienna, Austria.Malik, Saif Ur Rehman, Cybernet, Tallinn, Estonia.Jurdak, Raja, Queensland Univ Technol, Trusted Networks Lab, Brisbane, Australia.Hussain, Rasheed, Univ Bristol, Smart Internet Lab, Bristol, England.Matulevicius, Raimund",,Anomaly detection; Blockchain; Cyber-Physical Systems (CPSs); DigitalTwins (DTs); Industrial Control Systems (ICSs); Internet of Things(IoT); Industry 4; 0,ELSEVIER,0166-3615,English,,,44936.59786,44939.79227,Linatek,Linatek,Accepted,
,Efficient Authentication for Vehicular Digital Twin Communications,"Xu, Jing and He, Chao and Luan, Tom H.",,2021,ISI Web of Science,,,"Autonomous vehicles(AVs) have developed rapidly in recent years and
derived many AV-related services. However, the stringent requirement of
real-time sensing, computing, and communication may severely overload
the AV, resulting in a poor passenger experience. In this work, we
leverage the digital twin(DT) concept to help the information fusion and
computing for AV, propose a vehicular digital twin(VDT) framework.
Specifically, DT is maintained in the cloud and synchronized with its
corresponding AV in real-time. AV uploads necessary information to the
DT, and DT makes feedback through processing and analysis. The DT can
also communicate with other DTs to obtain information. Due to the
real-time information synchronization of AV and DT in an open
communication environment, ensuring communication security and protect
privacy is needed. To tackle those issues, we give a concrete
authentication protocol for secure communication between AV and DT. The
security analysis and performance evaluation show that our proposed
protocol not only has less computation cost but also can satisfy the
necessary security requirements.",Proceedings Paper,10.1109/VTC2021-FALL52928.2021.9625518,,"Xu, J (Corresponding Author), Xidian Univ, Sch Cyber Engn, Xian 710126, Peoples R China.Xu, Jing; He, Chao; Luan, Tom H., Xidian Univ, Sch Cyber Engn, Xian 710126, Peoples R China.",,Authentication scheme; autonomous vehicles; digital twin;secret-handshake; group signature,IEEE,2577-2465,English,"94th IEEE Vehicular Technology Conference (VTC-Fall), ELECTR NETWORK,SEP 27-30, 2021",,44936.59786,44939.63141,Linatek,Linatek,Accepted,
,Detection {DDoS} of�{Attacks} based on�{Federated} learning with�{Digital} twin network,{Dingling SuZehui Qu},"Knowledge Science, Engineering and Management",2022,Springer Link,,,None,,10.1007/978-3-031-10989-8_13,http://link.springer.com/chapter/10.1007/978-3-031-10989-8_13,,,,,,,,,44936.60672,44938.95568,Linatek,Linatek,Accepted,
,An IoT Digital Twin for&nbsp;Cyber-Security Defence Based on&nbsp;Runtime Verification,"de Hoz Diego, Jorge David and Temperekidis, Anastasios and Katsaros, Panagiotis and Konstantinou, Charalambos",,2022,ACM Digital Library,556–574,,"A security decoupling approach for IoT device communications is presented, based on a Digital Twin with runtime verification capabilities. The solution proposed assumes that a local agent (security module) can be deployed to the IoT device by the IoT server. The runtime verification approach implemented in the Digital Twin detects possible violations of protected communications from either a remote device or a local compromised process and provides timely and valuable information for countering a potential cyber-security attack. Moreover, only a subset of the observed traffic needs to be monitored, which induces negligible overhead and allows deploying the Digital Twin in IoT devices with limited computational resources. Runtime verification was implemented by adopting a rule-based approach for monitoring parametric events, i.e. the packets that carry data.",,10.1007/978-3-031-19849-6_31,https://doi.org/10.1007/978-3-031-19849-6_31,,,"IoT, Digital twin, Security-by-design, Runtime verification",Springer-Verlag,,,,,44936.59747,44937.8599,Linatek,Linatek,Accepted,- 
,"Sensible and secure {IoT} communication for digital twins, cyber twins, web twins","Feng, Hailin and Chen, Dongliang and Lv, Haibin",Internet of Things and Cyber-Physical Systems,2021,Science@Direct,34--44,1,"In order to effectively solve the current security problems encountered by smart wireless terminals in the digital twin biological network, to ensure the stable and efﬁcient operation of the wireless communication network. This research aims to reduce the interference attack in the communication network, an interference source location scheme based on Mobile Tracker in the communication process of the Internet of Things (IoT) is designed. Firstly, this paper improves Attribute-Based Encryption (ABE) to meet the security and overhead requirements of digital twin networking communication. The access control policy is used to encrypt a random key, and the symmetric encryption scheme is used to hide the key. In addition, in the proposed interference source location technology, the inﬂuence of observation noise is reduced based on the principle of unscented Kalman ﬁlter, and the estimated interference source location is modiﬁed by the interference source motion model. In order to further evaluate the performance of the method proposed as the interference source, this paper simulates the jamming attack scenario. The Root Mean Square Error (RMSE) value of the proposed algorithm is 0.245 m, which is better than the ErrMin algorithm (0.313 m), and the number of observation nodes of the proposed algorithm is less than half of the ErrMin algorithm. To sum up, satisfactory results can be achieved by taking the Jamming Signal Strength (JSS) information as the observation value and estimating the location of the interference source and other state information based on the untracked Kalman ﬁlter algorithm. This research has signiﬁcant value for the secure communication of the digital twins in the IoT.",,10.1016/j.iotcps.2021.12.003,https://linkinghub.elsevier.com/retrieve/pii/S2667345221000067,,,,,26673452,en,,,44936.60582,44939.77464,Linatek,Linatek,Accepted,
,Toward the�{Adoption} of�{Secure} cyber digital twins to�{Enhance} cyber-physical systems security,{Alessandra De BenedictisChristiancarmine EspositoAlessandra Somma},Quality of Information and Communications Technology,2022,Springer Link,,,None,,10.1007/978-3-031-14179-9_21,http://link.springer.com/chapter/10.1007/978-3-031-14179-9_21,,,,,,,,,44936.60672,44938.50455,Linatek,Linatek,Accepted,
,Digitally twinned additive manufacturing: {Detecting} flaws in laser powder bed fusion by combining thermal simulations with in-situ meltpool sensor data,"Yavari, R. and Riensche, A. and Tekerek, E. and Jacquemetton, L. and Halliday, H. and Vandever, M. and Tenequer, A. and Perumal, V. and Kontsos, A. and Smoqi, Z. and Cole, K. and Rao, P.",Materials \& Design,2021,Science@Direct,110167,211,None,,10.1016/j.matdes.2021.110167,https://linkinghub.elsevier.com/retrieve/pii/S026412752100722X,,,,,02641275,en,,,44936.60582,44939.75722,Linatek,Linatek,Accepted,
,"Digital Twins: A Survey on Enabling Technologies, Challenges, Trends and Future Prospects","Mihai, Stefan and Yaqoob, Mahnoor and Hung, Dang V. and Davis, William and Towakel, Praveer and Raza, Mohsin and Karamanoglu, Mehmet and Barn, Balbir and Shetve, Dattaprasad and Prasad, Raja V. and Venkataraman, Hrishikesh and Trestian, Ramona and Nguyen, Huan X.",IEEE Communications Surveys and Tutorials,2022,Scopus,2255 – 2291,24,"Digital Twin (DT) is an emerging technology surrounded by many promises, and potentials to reshape the future of industries and society overall. A DT is a system-of-systems which goes far beyond the traditional computer-based simulations and analysis. It is a replication of all the elements, processes, dynamics, and firmware of a physical system into a digital counterpart. The two systems (physical and digital) exist side by side, sharing all the inputs and operations using real-time data communications and information transfer. With the incorporation of Internet of Things (IoT), Artificial Intelligence (AI), 3D models, next generation mobile communications (5G/6G), Augmented Reality (AR), Virtual Reality (VR), distributed computing, Transfer Learning (TL), and electronic sensors, the digital/virtual counterpart of the real-world system is able to provide seamless monitoring, analysis, evaluation and predictions. The DT offers a platform for the testing and analysing of complex systems, which would be impossible in traditional simulations and modular evaluations. However, the development of this technology faces many challenges including the complexities in effective communication and data accumulation, data unavailability to train Machine Learning (ML) models, lack of processing power to support high fidelity twins, the high need for interdisciplinary collaboration, and the absence of standardized development methodologies and validation measures. Being in the early stages of development, DTs lack sufficient documentation. In this context, this survey paper aims to cover the important aspects in realization of the technology. The key enabling technologies, challenges and prospects of DTs are highlighted. The paper provides a deep insight into the technology, lists design goals and objectives, highlights design challenges and limitations across industries, discusses research and commercial developments, provides its applications and use cases, offers case studies in industry, infrastructure and healthcare, lists main service providers and stakeholders, and covers developments to date, as well as viable research dimensions for future developments in DTs.  © 1998-2012 IEEE.",Article,10.1109/COMST.2022.3208773,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139416099&doi=10.1109%2fCOMST.2022.3208773&partnerID=40&md5=3385e46ba470f59915fb9ed37169c7b1,,5G; digital transformation; Digital twin; industry 4.0; smart manufacturing; structural health monitoring,Artificial intelligence; Augmented reality; Distributed computer systems; Firmware; Industrial research; Industry 4.0; Internet of things; Network security; Real time systems; Surveys; Systems engineering; Virtual reality; 5g; Digital transformation; Emerging technologies; Enabling technologies; Future prospects; Market researches; Smart manufacturing; Solid modelling; Technology challenges; Tutorial; Data visualization,Institute of Electrical and Electronics Engineers Inc.,1553877X,English,"Cited by: 3; All Open Access, Green Open Access",,44936.5983,44940.70508,Linatek,Linatek,Accepted,
,Smart Grid Anomaly Detection using a Deep Learning Digital Twin,"Danilczyk, William and Sun, Yan Lindsay and He, Haibo","2020 52nd North American Power Symposium, NAPS 2020",2021,Scopus,,,"The power grid is considered to be the most critical piece of infrastructure in the United States because each of the other fifteen critical infrastructures, as defined by the Cyberse-curity and Infrastructure Security Agency (CISA), require the energy sector to properly function. Due the critical nature of the power grid, the ability to detect anomalies in the power grid is of critical importance to prevent power outages, avoid damage to sensitive equipment and to maintain a working power grid. Over the past few decades, the modern power grid has evolved into a large Cyber Physical System (CPS) equipped with wide area monitoring systems (WAMS) and distributed control. As smart technology advances, the power grid continues to be upgraded with high fidelity sensors and measurement devices, such as phasor measurement units (PMUs), that can report the state of the system with a high temporal resolution. However, this influx of data can often become overwhelming to the legacy Supervisory Control and Data Acquisition (SCADA) system, as well as, the power system operator. In this paper, we propose using a deep learning (DL) convolutional neural network (CNN) as a module within the Automatic Network Guardian for ELectrical systems (ANGEL) Digital Twin environment to detect physical faults in a power system. The presented approach uses high fidelity measurement data from the IEEE 9-bus and IEEE 39-bus benchmark power systems to not only detect if there is a fault in the power system but also applies the algorithm to classify which bus contains the fault. © 2021 IEEE.",Conference paper,10.1109/NAPS50074.2021.9449682,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113383247&doi=10.1109%2fNAPS50074.2021.9449682&partnerID=40&md5=ef665cce60d1d9fd6c1eec39a055acc7,,Anomaly Detection; Convolutional Neural Network; Cyber Physical System; Deep Learning; Digital Twin; Fault Detection; Smart Grid; Wide Area Monitoring System,Anomaly detection; Convolutional neural networks; Data acquisition; Deep learning; Digital twin; Distributed parameter control systems; E-learning; Electric power transmission networks; Embedded systems; Fault detection; Outages; Phasor measurement units; Smart power grids; Cyber-physical systems (CPS); Distributed control; High temporal resolution; Infrastructure security; Phasor measurement unit (PMUs); Power system operators; Supervisory control and dataacquisition systems (SCADA); Wide area ,Institute of Electrical and Electronics Engineers Inc.,,English,"Cited by: 8; Conference name: 52nd North American Power Symposium, NAPS 2020; Conference date: 11 April 2021 through 13 April 2021; Conference code: 170924",,44936.5983,44941.49113,Linatek,Linatek,Accepted,
